Name,Location,Distance,Rate,Grade,Price,Review,TypeRoom,TypeBed,CancellationPolicy,DateOfVacation,SnapShotDate,numOfNights,TimeToTravel
Sheraton Tribeca New York Hotel,"Tribeca, New York",5.6 km from center,7.6,Good,"₪ 1,537","2,435 reviews",King Studio,"Entire studio • 1 bathroom • 33m²
1 king bed",FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Pestana Park Avenue,"Murray Hill, New York",1.9 km from center,8.5,Very Good,₪ 693,821 reviews,King Studio with Roll-in Shower - Mobility and Hearing Accessible,"Entire studio • 1 bathroom • 25m²
1 king bed",FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Hilton Club West 57th Street New York,"Manhattan, New York",0.5 km from center,8.6,Excellent,₪ 620,72 reviews,Walker Cozy King,1 king bed,Free cancellation,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
TownePlace Suites by Marriott New York Manhattan/Times Square,"Hell's Kitchen, New York",1.2 km from center,8.2,Very Good,₪ 693,"1,455 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Walker Hotel Tribeca,"Chinatown, New York",5.8 km from center,8.1,Very Good,₪ 620,"1,272 reviews",Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Hampton Inn Manhattan-35th St Empire State Bldg,"Manhattan, New York",2 km from center,8.3,Very Good,₪ 693,"3,455 reviews",Room Selected at Check-In,1 queen bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Square Hotel at Times Square,"Manhattan, New York",0.8 km from center,7.0,Good,₪ 656,"2,380 reviews",King Room - Non-Smoking,1 king bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
"Candlewood Suites NYC -Times Square, an IHG Hotel","Hell's Kitchen, New York",1.6 km from center,7.5,Good,₪ 555,"1,370 reviews",Double Room with Shared Bathroom,2 twin beds,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Wingate by Wyndham New York Midtown South/5th Ave,"Manhattan, New York",1.9 km from center,7.9,Good,₪ 756,"1,505 reviews",Double Studio with balcony,"Entire studio • 1 bathroom • 35m²
1 full bed",Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
The Manhattan Club,"Manhattan, New York",350 m from center,8.0,Very Good,₪ 510,"1,723 reviews",Standard Bunk Bed Room with Shared Bathroom,1 bunk bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Leo House,"Chelsea, New York",2.9 km from center,7.8,Good,₪ 656,"2,936 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Hotel 32 32,"Manhattan, New York",2.4 km from center,6.8,Review score,₪ 876,743 reviews,Double Room with Two Double Beds,2 full beds,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Pod 51,"Midtown East, New York",1.7 km from center,7.8,Good,₪ 656,"7,063 reviews",Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
