Name,Rate,Grade,Price,Review,DateOfVacation,SnapShotDate,LengthOfStay,TimeToTravel
Moxy NYC Downtown,8.6,Excellent,"€420
€",(776 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Broadway Plaza Hotel,8.8,Excellent,"€524
€","(1,148 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"Club Quarters Hotel, Grand Central",8.2,Very good,"€537
€","(1,163 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Hilton Garden Inn Times Square,8.2,Very good,"€473
€","(1,703 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Hilton Garden Inn New York/Tribeca,8.4,Very good,"€473
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Millennium Downtown New York,7.4,Good,"€472
€","(2,552 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
AC Hotel by Marriott New York Downtown,9.0,Wonderful,"€431
€",(955 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Moxy NYC Chelsea,8.6,Excellent,"€540
€",(987 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Refinery Hotel,8.8,Excellent,"€704
€","(1,002 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Warwick New York,8.0,Very good,"€559
€","(1,214 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Radio City Apartments,8.6,Excellent,"€452
€","(2,906 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Cloud One New York-Downtown,8.4,Very good,"€431
€",(98 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Doubletree by Hilton New York Times Square South,8.4,Very good,"€558
€","(2,170 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Pendry Manhattan West,9.6,Exceptional,"€1,310",(108 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
1 Hotel Central Park,9.0,Wonderful,"€1,078","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Executive Hotel Le Soleil New York,8.6,Excellent,"€537
€","(1,796 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Hilton Garden Inn New York/Midtown Park Ave,8.4,Very good,"€507
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Courtyard by Marriott New York World Trade Center Area,8.0,Very good,"€409
€",(50 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"The Chatwal, In The Unbound Collection By Hyatt",9.4,Exceptional,"€1,085",(448 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
NoMo SoHo,8.0,Very good,"€585
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Park Lane New York,8.6,Excellent,"€1,006",(326 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The James New York - NoMad,8.4,Very good,"€677
€","(1,002 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Hilton Garden Inn New York/Manhattan-Midtown East,8.0,Very good,"€516
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Residence Inn by Marriott New York Manhattan/Midtown East,9.0,Wonderful,"€519
€",(999 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Courtyard by Marriott New York Manhattan/SoHo,8.8,Excellent,"€431
€",(815 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Manhattan Club,8.6,Excellent,"€599
€",(999 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Gallivant Times Square,6.6,"(1,847 reviews)","€409
€",Uknown,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Four Points By Sheraton New York Downtown,7.4,Good,"€473
€","(1,002 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
CIVILIAN Hotel,9.2,Wonderful,"€467
€",(797 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"Hotel Indigo Lower East Side New York, an IHG Hotel",8.0,Very good,"€682
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Moxy NYC Times Square,8.4,Very good,"€540
€","(1,119 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Freehand New York,8.2,Very good,"€530
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
SpringHill Suites by Marriott New York Midtown Manhattan/Park Avenue,8.8,Excellent,"€494
€",(83 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Wingate by Wyndham New York Midtown South/5th Ave,8.2,Very good,"€551
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Mondrian Park Avenue,7.4,Good,"€497
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Hyatt House New York/Chelsea,8.6,Excellent,"€547
€",(758 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Citadines Connect Fifth Avenue New York,7.8,Good,"€519
€","(1,004 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Benjamin Royal Sonesta New York,8.8,Excellent,"€637
€","(1,000 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Sofitel New York,8.8,Excellent,"€908
€","(1,001 reviews)",2023-03-23-2023-03-26,2023-03-22,3 nights,1.0
Sonesta Simply Suites Jersey City,8.4,Very good,"€626
€",(999 reviews),2023-03-23-2023-03-26,2023-03-22,3 nights,1.0
"EVEN Midtown East Grand Central, an IHG Hotel",8.6,Excellent,"€721
€","(1,003 reviews)",2023-03-23-2023-03-26,2023-03-22,3 nights,1.0
Moxy NYC Times Square,8.4,Very good,"€725
€","(1,119 reviews)",2023-03-23-2023-03-26,2023-03-22,3 nights,1.0
"PUBLIC, an Ian Schrager hotel",8.0,Very good,"€1,219","(1,477 reviews)",2023-03-23-2023-03-26,2023-03-22,3 nights,1.0
